Entity,Code,Year,Average annual working hours per worker
Brazil,BRA,2000,1837.927
Brazil,BRA,2001,1828.3264
Brazil,BRA,2002,1818.7257
Brazil,BRA,2003,1811.1825
Brazil,BRA,2004,1803.1261
Brazil,BRA,2005,1783.1312
Brazil,BRA,2006,1778.7123
Brazil,BRA,2007,1781.6913
Brazil,BRA,2008,1784.6703
Brazil,BRA,2009,1779.3353
Brazil,BRA,2010,1779.5791
Brazil,BRA,2011,1773.1746
Brazil,BRA,2012,1766.77
Brazil,BRA,2013,1755.6323
Brazil,BRA,2014,1739.4747
Brazil,BRA,2015,1709.4856
Brazil,BRA,2016,1709.4856
Brazil,BRA,2017,1709.4856
Canada,CAN,2000,1778.6147
Canada,CAN,2001,1771.0833
Canada,CAN,2002,1753.5767
Canada,CAN,2003,1746.0255
Canada,CAN,2004,1759.0833
Canada,CAN,2005,1746.6008
Canada,CAN,2006,1744.8906
Canada,CAN,2007,1741.265
Canada,CAN,2008,1734.8149
Canada,CAN,2009,1701.0571
Canada,CAN,2010,1703.0271
Canada,CAN,2011,1699.6071
Canada,CAN,2012,1712.5425
Canada,CAN,2013,1707.413
Canada,CAN,2014,1703.6506
Canada,CAN,2015,1707.073
Canada,CAN,2016,1702.9673
Canada,CAN,2017,1696.4624
China,CHN,2000,2090.4753
China,CHN,2001,2103.5127
China,CHN,2002,2118.1997
China,CHN,2003,2138.0828
China,CHN,2004,2167.8962
China,CHN,2005,2192.3545
China,CHN,2006,2183.0564
China,CHN,2007,2152.6538
China,CHN,2008,2131.5859
China,CHN,2009,2138.8472
China,CHN,2010,2172.7104
China,CHN,2011,2178.7708
China,CHN,2012,2184.2307
China,CHN,2013,2178.241
China,CHN,2014,2178.1633
China,CHN,2015,2174.3501
China,CHN,2016,2174.3501
China,CHN,2017,2174.3501
Denmark,DNK,2000,1466.0171
Denmark,DNK,2001,1468.9253
Denmark,DNK,2002,1462.6897
Denmark,DNK,2003,1457.644
Denmark,DNK,2004,1458.1553
Denmark,DNK,2005,1451.4474
Denmark,DNK,2006,1455.6711
Denmark,DNK,2007,1432.9716
Denmark,DNK,2008,1429.9916
Denmark,DNK,2009,1417.2021
Denmark,DNK,2010,1422.235
Denmark,DNK,2011,1436.7894
Denmark,DNK,2012,1423.2501
Denmark,DNK,2013,1425.8413
Denmark,DNK,2014,1414.1547
Denmark,DNK,2015,1412.2715
Denmark,DNK,2016,1408.9635
Denmark,DNK,2017,1400.3815
Finland,FIN,2000,1742.0702
Finland,FIN,2001,1722.5939
Finland,FIN,2002,1713.7766
Finland,FIN,2003,1705.2792
Finland,FIN,2004,1707.3223
Finland,FIN,2005,1697.0879
Finland,FIN,2006,1692.9031
Finland,FIN,2007,1691.4915
Finland,FIN,2008,1684.5125
Finland,FIN,2009,1660.6558
Finland,FIN,2010,1667.7671
Finland,FIN,2011,1662.4528
Finland,FIN,2012,1650.2601
Finland,FIN,2013,1639.5857
Finland,FIN,2014,1636.3311
Finland,FIN,2015,1637.1949
Finland,FIN,2016,1634.7594
Finland,FIN,2017,1659.2806
France,FRA,2000,1549.965
France,FRA,2001,1530.4617
France,FRA,2002,1497.3385
France,FRA,2003,1502.0975
France,FRA,2004,1525.9967
France,FRA,2005,1527.3717
France,FRA,2006,1510.6074
France,FRA,2007,1530.0048
France,FRA,2008,1537.7621
France,FRA,2009,1521.2759
France,FRA,2010,1527.9509
France,FRA,2011,1534.6066
France,FRA,2012,1528.8926
France,FRA,2013,1513.8743
France,FRA,2014,1508.9885
France,FRA,2015,1509.4127
France,FRA,2016,1502.7285
France,FRA,2017,1514.1371
Germany,DEU,2000,1452.0129
Germany,DEU,2001,1441.9102
Germany,DEU,2002,1430.8605
Germany,DEU,2003,1424.7449
Germany,DEU,2004,1422.2234
Germany,DEU,2005,1411.28
Germany,DEU,2006,1424.6752
Germany,DEU,2007,1424.3522
Germany,DEU,2008,1418.3964
